Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Sharp Lane  ,Electricity - 10008704,"£17,016.91","£25,210.00","129,321","194,654"
Primary School - Shire Oak Church of England  ,Electricity - 10012129,"£10,541.59","£8,504.28","92,629","75,108"
Primary School - Southroyd  ,Electricity - 10008923,"£18,355.13","£16,225.84","140,461","127,121"
Primary School - St Anthonys Roman Catholic  ,Electricity - 10008745,"£7,041.56","£6,312.53","63,832","58,596"
Primary School - St Augustines Roman Catholic Primary & Nursery  ,Electricity - 10012160,"£14,946.96","£12,931.23","130,518","112,758"
Primary School - St Bartholomews Church of England  ,Electricity - 10012173,"£16,315.20","£21,905.96","150,942","167,788"
Primary School - St Edwards Catholic  ,Electricity - 10008504,"£4,303.35","£3,825.53","37,757","35,493"
Primary School - St Edwards Catholic  ,Electricity - 10008505,"£1,302.80","£1,042.80","11,080","9,327"
Primary School - St Francis Roman Catholic - Morley  ,Electricity - 10008226,"£3,033.84","£2,556.79","26,486","23,454"
Primary School - St Francis Roman Catholic - Morley  ,Electricity - 10008997,"£5,141.95","£3,181.67","45,623","26,484"
Primary School - St Francis Roman Catholic - Morley  ,Electricity - 10008913,"£1,770.26","£1,665.35","20,789","20,373"
Primary School - St Josephs Catholic - Hunslet  ,Electricity - 10012210,"£9,675.76","£10,181.73","78,711","74,088"
Primary School - St Josephs Catholic - Wetherby  ,Electricity - 10008486,"£3,696.55","£6,003.94","32,134","55,745"
Primary School - St Marys Church of England  ,Electricity - 10008513,"£5,017.79","£4,803.89","44,088","44,494"
Primary School - St Matthews Church of England  ,Electricity - 10008084,"£11,229.37","£9,320.29","99,320","86,674"
Primary School - St Matthews Church of England  ,Electricity - 10115875,,£151.81,,982
Primary School - St Nicholas Roman Catholic  ,Electricity - 10009012,"£7,186.62","£2,427.61","65,816","22,521"
Primary School - St Oswalds Church of England Junior  ,Electricity - 10003084,"£11,926.76","£11,257.34","105,844","100,021"
Primary School - St Oswalds Church of England Junior  ,Electricity - 10007542,£53.52,£13.38,0,0
Primary School - St Patricks Roman Catholic  ,Electricity - 10009003,"£7,144.95","£7,146.57","66,663","67,046"
Primary School - St Pauls Catholic  ,Electricity - 10008241,"£7,956.05","£7,313.91","70,230","67,981"
Primary School - St Pauls Catholic  ,Electricity - 10008999,£25.80,£37.34,0,0
Primary School - St Peters Church of England  ,Electricity - 10012161,"£12,728.16","£9,959.33","111,423","87,273"
Primary School - St Philips Catholic Primary and Nursery  ,Electricity - 10008726,"£4,560.83","£5,541.94","41,068","51,091"
Primary School - St Theresas Roman Catholic  ,Electricity - 10009046,"£11,961.48","£13,503.32","111,130","126,284"
Primary School - St Urbans Roman Catholic  ,Electricity - 10008038,"£7,028.92","£7,673.25","59,210","71,333"
Primary School - Stanningley  ,Electricity - 10008955,"£6,704.90","£3,067.87","52,461","23,484"
Primary School - Strawberry Fields  ,Electricity - 10002420,"£10,084.46","£9,083.89","96,247","85,063"
Primary School - Summerfield  ,Electricity - 10012235,"£10,651.33","£13,014.31","88,553","103,515"
Primary School - Summerfield  ,Electricity - 10007380,£533.92,£920.72,"4,378","7,957"
Primary School - Swarcliffe  ,Electricity - 10012119,"£15,884.76","£13,006.72","129,454","94,297"
Primary School - Swillington  ,Electricity - 10002665,"£14,162.64","£4,608.85","133,217","44,116"
Primary School - Swinnow  ,Electricity - 10140756,"£12,100.70","£6,544.21","93,475","51,000"
Primary School - Talbot  ,Electricity - 10008292,"£7,479.59","£3,000.23","55,229","23,248"
Primary School - Talbot  ,Electricity - 10002489,"£7,585.29","£9,962.02","55,919","75,207"
Primary School - Templenewsam Halton  ,Electricity - 10002417,"£17,957.26","£15,891.71","166,348","144,615"
Primary School - The Whartons - Otley   ,Electricity - 10007557,"£2,844.75","£1,787.27","20,526","13,711"
Primary School - The Whartons - Otley   ,Electricity - 10008926,"£7,240.53","£8,672.46","55,061","86,744"
Primary School - Thorner Church of England  ,Electricity - 10008639,"£8,027.08","£5,351.27","72,839","49,506"
Primary School - Thorner Church of England  ,Electricity - 10008640,"£2,210.05",£970.42,"19,691","8,778"
Primary School - Thorner Church of England  ,Electricity - 10169462,£704.15,"£5,728.98","9,273","58,429"
Primary School - Thorpe  ,Electricity - 10008176,"£4,896.90","£12,584.87","35,695","96,619"
Primary School - Tranmere Park  ,Electricity - 10007550,"£3,430.51","£3,117.52","24,924","23,779"
Primary School - Tranmere Park  ,Electricity - 10007551,"£7,233.84","£6,051.37","53,859","45,923"
Primary School - Tranmere Park  ,Electricity - 10008922,£280.93,£157.23,"3,209","1,834"
Primary School - Tranmere Park  ,Electricity - 10007549,£312.74,£313.52,"2,395","2,515"
Primary School - Tyersal  ,Electricity - 10140713,"£2,278.01",£808.39,"16,346","6,173"
Primary School - Tyersal  ,Electricity - 10008925,"£11,293.43","£9,451.51","85,785","69,603"
Primary School - Valley View Community  ,Electricity - 10012179,"£13,763.46","£13,593.70","109,319","100,067"
Primary School - Victoria  ,Electricity - S45839668,"£17,057.87",,"136,578",
Primary School - Waterloo   ,Electricity - 10002424,"£16,775.21","£16,357.21","133,618","120,731"
Primary School - Weetwood  ,Electricity - 10012070,"£10,608.68","£9,417.67","77,111","70,057"
Primary School - West End  ,Electricity - 10008916,"£9,006.72","£8,107.50","70,949","63,744"
Primary School - West End  ,Electricity - 10140413,£667.76,£323.00,"8,098","3,583"
Primary School - Westbrook Lane  ,Electricity - 10007408,£209.79,£210.92,"1,514","1,511"
Primary School - Westbrook Lane  ,Electricity - 10008914,"£11,205.55","£8,439.31","88,380","67,345"
Primary School - Westerton  ,Electricity - S45839473,"£14,424.16",,"113,885",
Primary School - Westerton  ,Electricity - S36831395,£548.51,,"4,487",
Primary School - Westgate  ,Electricity - 10140715,"£1,166.77",£555.62,"9,298","4,524"
Primary School - Westgate  ,Electricity - 10140716,"£6,912.03","£2,097.37","50,772","16,114"
Primary School - Westwood  ,Electricity - 10009063,"£10,828.29","£10,391.64","92,512","96,841"
Primary School - Wetherby St James Church of England Primary and Nursery  ,Electricity - 10008499,£700.21,£637.86,"5,748","5,538"
Primary School - Wetherby St James Church of England Primary and Nursery  ,Electricity - 10008500,"£2,429.06","£1,933.39","20,073","18,067"
Primary School - Wetherby St James Church of England Primary and Nursery  ,Electricity - 10009023,£974.79,£561.63,"12,251","6,920"
Primary School - Whingate  ,Electricity - 10012201,"£18,064.46","£15,371.74","140,027","115,787"
Primary School - Whinmoor St Pauls Church of England  ,Electricity - 10009026,£34.40,£22.87,0,0
Primary School - Whinmoor St Pauls Church of England  ,Electricity - 10008519,"£6,850.84","£6,486.61","60,425","60,468"
Primary School - Whinmoor St Pauls Church of England  ,Electricity - 10008518,£190.66,£261.18,"1,213","2,025"
Primary School - White Laithe  ,Electricity - 10008576,"£11,572.86","£9,586.51","88,992","73,283"
Primary School - Whitecote  ,Electricity - 10012096,"£15,738.39","£13,422.20","122,170","101,021"
Primary School - Whitecote  ,Electricity - 10007860,£537.94,£498.75,"4,627","4,172"
Primary School - Whitkirk  ,Electricity - 10002395,"£17,653.22","£17,073.11","162,287","154,285"
Primary School - Wigton Moor  ,Electricity - 10008244,"£4,913.30",,"35,815",
Primary School - Wigton Moor  ,Electricity - 10008245,"£1,850.03",,"13,347",
Primary School - Wigton Moor  ,Electricity - 10005771,"£2,016.70","£16,581.41","18,160","103,878"
Primary School - Windmill  ,Electricity - 10002485,"£28,542.79","£27,572.21","240,906","219,444"
Primary School - Woodlesford  ,Electricity - 10140919,£913.57,£659.87,"7,743","5,496"
